k_bin,k_mid,Matern s=0.3 nugget0,Matern s=0.3 nugget free,GC a=0.7 b=3 nugget0,GC a=0.7 b=3 nugget free,GC a=0.7 b=3.5 nugget0,GC a=0.7 b=3.5 nugget free,GC a=0.7 b=4 nugget0,GC a=0.7 b=4 nugget free
20,23.4890,1.0072,1.1128,1.0316,1.0817,1.0278,1.0821,1.0248,1.0823
21,24.6348,1.0330,1.1357,1.0513,1.1014,1.0479,1.1019,1.0451,1.1023
22,25.7806,1.0072,1.1007,1.0187,1.0654,1.0157,1.0661,1.0133,1.0666
23,26.9264,1.0103,1.0968,1.0171,1.0616,1.0144,1.0623,1.0122,1.0628
24,28.0722,0.9870,1.0660,0.9885,1.0301,0.9863,1.0310,0.9845,1.0317
25,29.2180,1.0360,1.1114,1.0330,1.0737,1.0310,1.0748,1.0294,1.0755
26,30.3638,1.0654,1.1351,1.0578,1.0965,1.0562,1.0977,1.0548,1.0985
27,31.5096,1.0715,1.1356,1.0605,1.0973,1.0591,1.0985,1.0579,1.0994
28,32.6554,1.0962,1.1543,1.0818,1.1164,1.0806,1.1176,1.0797,1.1185
29,33.8012,1.1090,1.1600,1.0908,1.1223,1.0900,1.1236,1.0893,1.1245
30,34.9470,1.0758,1.1181,1.0554,1.0827,1.0548,1.0840,1.0544,1.0849
31,36.0928,1.0657,1.1010,1.0432,1.0673,1.0429,1.0685,1.0427,1.0694
32,37.2386,1.1049,1.1345,1.0793,1.1009,1.0793,1.1022,1.0793,1.1032
33,38.3844,1.1451,1.1698,1.1167,1.1364,1.1169,1.1377,1.1170,1.1387
34,39.5302,1.1172,1.1350,1.0881,1.1043,1.0884,1.1055,1.0887,1.1064
35,40.6760,1.0763,1.0884,1.0475,1.0606,1.0480,1.0617,1.0483,1.0625
36,41.8218,1.0650,1.0712,1.0349,1.0448,1.0356,1.0459,1.0362,1.0468
37,42.9676,1.0793,1.0802,1.0476,1.0550,1.0485,1.0561,1.0492,1.0569
38,44.1134,1.0821,1.0785,1.0495,1.0546,1.0506,1.0556,1.0514,1.0564
39,45.2592,1.0795,1.0711,1.0461,1.0487,1.0473,1.0497,1.0482,1.0505
40,46.4050,1.0859,1.0736,1.0520,1.0526,1.0533,1.0535,1.0543,1.0543
41,47.5508,1.1020,1.0851,1.0667,1.0648,1.0682,1.0657,1.0693,1.0665
42,48.6966,1.0655,1.0456,1.0309,1.0271,1.0324,1.0280,1.0336,1.0287
43,49.8424,1.0965,1.0728,1.0606,1.0551,1.0622,1.0559,1.0635,1.0566
44,50.9882,1.1080,1.0808,1.0720,1.0650,1.0737,1.0658,1.0750,1.0663
45,52.1340,1.0635,1.0343,1.0289,1.0205,1.0306,1.0211,1.0320,1.0216
46,53.2798,1.0260,0.9946,0.9927,0.9829,0.9944,0.9835,0.9957,0.9839
47,54.4256,1.0553,1.0202,1.0212,1.0094,1.0230,1.0099,1.0244,1.0104
48,55.5714,1.0245,0.9879,0.9917,0.9789,0.9935,0.9794,0.9950,0.9798
49,56.7172,1.0312,0.9912,0.9980,0.9832,0.9999,0.9836,1.0014,0.9840
50,57.8630,0.9919,0.9512,0.9602,0.9447,0.9621,0.9451,0.9636,0.9454
51,59.0088,1.0254,0.9805,0.9925,0.9748,0.9945,0.9752,0.9961,0.9754
52,60.1546,1.0116,0.9653,0.9794,0.9608,0.9814,0.9611,0.9830,0.9613
53,61.3005,1.0212,0.9722,0.9887,0.9685,0.9908,0.9688,0.9924,0.9690
54,62.4463,1.0198,0.9689,0.9874,0.9660,0.9895,0.9663,0.9912,0.9664
55,63.5921,1.0056,0.9537,0.9737,0.9517,0.9759,0.9519,0.9776,0.9520
56,64.7379,0.9917,0.9386,0.9603,0.9374,0.9624,0.9375,0.9641,0.9376
57,65.8837,1.0090,0.9536,0.9770,0.9529,0.9792,0.9530,0.9810,0.9531
58,67.0295,0.9579,0.9041,0.9281,0.9045,0.9302,0.9045,0.9318,0.9046
59,68.1753,0.9768,0.9212,0.9463,0.9217,0.9485,0.9218,0.9502,0.9218
60,69.3211,0.9705,0.9143,0.9403,0.9152,0.9426,0.9153,0.9443,0.9153
61,70.4669,1.0117,0.9522,0.9803,0.9536,0.9826,0.9536,0.9845,0.9537
62,71.6127,0.9578,0.8997,0.9278,0.9015,0.9300,0.9015,0.9318,0.9015
63,72.7585,0.9644,0.9025,0.9335,0.9051,0.9359,0.9050,0.9377,0.9050
64,73.9043,0.9541,0.8902,0.9234,0.8935,0.9258,0.8934,0.9277,0.8934
65,75.0501,0.9345,0.8706,0.9045,0.8743,0.9068,0.8742,0.9087,0.8741
66,76.1959,0.9275,0.8626,0.8977,0.8667,0.9001,0.8666,0.9020,0.8665
67,77.3417,0.9583,0.8900,0.9275,0.8947,0.9300,0.8945,0.9320,0.8944
68,78.4875,0.9269,0.8598,0.8971,0.8647,0.8996,0.8645,0.9015,0.8644
69,79.6333,0.9552,0.8852,0.9244,0.8904,0.9270,0.8902,0.9290,0.8901
