k_bin,k_mid,Matern s=0.3 nugget0,GC a=0.8 b=0.4 nugget0,GC a=0.8 b=0.3 nugget0,GC a=0.8 b=0.2 nugget0,GC a=0.85 b=0.4 nugget0,GC a=0.85 b=0.3 nugget0,GC a=0.85 b=0.2 nugget0
28,32.6554,1.1160,1.0737,1.0726,1.0703,1.0673,1.0671,1.0658
29,33.8012,1.0937,1.0521,1.0506,1.0479,1.0471,1.0464,1.0445
30,34.9470,1.1051,1.0648,1.0630,1.0603,1.0606,1.0597,1.0577
31,36.0928,1.1106,1.0718,1.0699,1.0670,1.0687,1.0675,1.0652
32,37.2386,1.1135,1.0765,1.0745,1.0715,1.0745,1.0730,1.0706
33,38.3844,1.0544,1.0206,1.0185,1.0156,1.0196,1.0180,1.0155
34,39.5302,1.1583,1.1240,1.1220,1.1193,1.1236,1.1220,1.1197
35,40.6760,1.0859,1.0569,1.0549,1.0523,1.0574,1.0557,1.0533
36,41.8218,1.0710,1.0435,1.0409,1.0376,1.0455,1.0431,1.0400
37,42.9676,1.0625,1.0374,1.0347,1.0314,1.0403,1.0378,1.0346
38,44.1134,1.0758,1.0524,1.0495,1.0460,1.0563,1.0535,1.0500
39,45.2592,1.0809,1.0595,1.0565,1.0529,1.0644,1.0613,1.0577
40,46.4050,1.0625,1.0443,1.0415,1.0382,1.0497,1.0468,1.0434
41,47.5508,1.0852,1.0675,1.0642,1.0604,1.0743,1.0708,1.0668
42,48.6966,1.1233,1.1069,1.1034,1.0994,1.1147,1.1109,1.1066
43,49.8424,1.0704,1.0572,1.0541,1.0506,1.0650,1.0616,1.0578
44,50.9882,1.0508,1.0405,1.0379,1.0350,1.0482,1.0453,1.0421
45,52.1340,1.0077,0.9993,0.9966,0.9937,1.0074,1.0044,1.0011
46,53.2798,0.9883,0.9825,0.9804,0.9782,0.9905,0.9880,0.9855
47,54.4256,0.9934,0.9885,0.9857,0.9827,0.9977,0.9945,0.9911
48,55.5714,1.0185,1.0149,1.0119,1.0087,1.0248,1.0213,1.0177
49,56.7172,1.0155,1.0138,1.0107,1.0075,1.0244,1.0208,1.0171
50,57.8630,1.0078,1.0075,1.0045,1.0012,1.0186,1.0149,1.0111
51,59.0088,1.0765,1.0781,1.0747,1.0712,1.0905,1.0865,1.0824
52,60.1546,0.9489,0.9512,0.9481,0.9449,0.9627,0.9590,0.9552
53,61.3005,0.9453,0.9488,0.9457,0.9424,0.9607,0.9570,0.9531
54,62.4463,1.0002,1.0052,1.0018,0.9983,1.0183,1.0142,1.0100
55,63.5921,0.9256,0.9310,0.9278,0.9244,0.9435,0.9396,0.9356
56,64.7379,0.9668,0.9735,0.9702,0.9667,0.9871,0.9829,0.9787
57,65.8837,0.9417,0.9488,0.9455,0.9421,0.9622,0.9582,0.9540
58,67.0295,0.8774,0.8861,0.8836,0.8812,0.8984,0.8952,0.8920
59,68.1753,0.9625,0.9715,0.9681,0.9645,0.9857,0.9815,0.9771
60,69.3211,0.9228,0.9321,0.9288,0.9253,0.9459,0.9418,0.9376
61,70.4669,0.9551,0.9652,0.9617,0.9581,0.9797,0.9754,0.9710
62,71.6127,0.8952,0.9058,0.9027,0.8997,0.9196,0.9158,0.9119
63,72.7585,0.8774,0.8902,0.8874,0.8848,0.9044,0.9008,0.8973
64,73.9043,0.8352,0.8492,0.8465,0.8439,0.8636,0.8600,0.8566
65,75.0501,0.8350,0.8501,0.8473,0.8447,0.8649,0.8612,0.8577
66,76.1959,0.8842,0.9013,0.8983,0.8954,0.9175,0.9135,0.9097
67,77.3417,0.8867,0.9048,0.9017,0.8987,0.9215,0.9174,0.9134
68,78.4875,0.8626,0.8810,0.8780,0.8751,0.8976,0.8935,0.8896
69,79.6333,0.8617,0.8808,0.8777,0.8747,0.8976,0.8935,0.8896
