dataset_id,Q_minus_M3_cells,JKQ_minus_M3_cells,signal_regime,speed_cells,jk_j90_cells,surface_clear,jkq_j90_cells,jkq_valid_fraction,subgrid_stable
a067_s0p75_reference_r01,-0.0756411042,-0.0756411042,reference,0.7500000000,0.0000000000,True,0.0979004526,1.0000000000,True
a067_s0p75_reference_r02,-0.3382278735,-0.3382278735,reference,0.7500000000,0.0000000000,True,0.1053537200,1.0000000000,True
a067_s0p75_reference_r03,-0.3274920645,-0.3274920645,reference,0.7500000000,0.0000000000,True,0.1202278567,1.0000000000,True
a067_s0p75_reference_r04,-0.0643304363,-0.0643304363,reference,0.7500000000,0.4000000000,True,0.0997496018,1.0000000000,True
a067_s0p75_strong_r00,-0.1810053948,-0.1810053948,strong,0.7500000000,0.0000000000,True,0.0518731003,1.0000000000,True
a067_s0p75_strong_r01,-0.2944579863,-0.2944579863,strong,0.7500000000,0.0000000000,True,0.0587186710,1.0000000000,True
a067_s0p75_strong_r02,-0.2039203201,-0.2039203201,strong,0.7500000000,0.0000000000,True,0.0631770185,1.0000000000,True
a067_s0p75_strong_r03,-0.4751128434,-0.4751128434,strong,0.7500000000,0.4000000000,True,0.0673538124,1.0000000000,True
a067_s0p75_strong_r04,-0.3440261305,-0.3440261305,strong,0.7500000000,0.0000000000,True,0.0554683977,1.0000000000,True
a067_s0p75_weak_r00,-0.2453772703,-0.2453772703,weak,0.7500000000,0.4000000000,True,0.4931086869,0.8571428571,True
a067_s0p75_weak_r01,-0.2066156785,0.0000000000,weak,0.7500000000,0.4000000000,True,0.5904951261,1.0000000000,False
a067_s0p75_weak_r02,0.0793432597,0.0793432597,weak,0.7500000000,0.0000000000,True,0.3980351703,0.8571428571,True
a067_s0p75_weak_r03,-0.1682497743,-0.1682497743,weak,0.7500000000,1.0000000000,False,0.4097849666,1.0000000000,True
a067_s0p75_weak_r04,-0.1444393782,-0.1444393782,weak,0.7500000000,0.0000000000,True,0.2996168709,1.0000000000,True
a067_s2p0_reference_r00,-0.1087980316,-0.1087980316,reference,2.0000000000,0.0000000000,True,0.0701358288,1.0000000000,True
a067_s2p0_reference_r01,0.0239499369,0.0239499369,reference,2.0000000000,0.0000000000,True,0.1192257999,1.0000000000,True
a067_s2p0_reference_r02,-0.0929150729,-0.0929150729,reference,2.0000000000,0.0000000000,True,0.1528854365,1.0000000000,True
a067_s2p0_reference_r03,-0.1372552171,-0.1372552171,reference,2.0000000000,0.0000000000,True,0.0801512606,1.0000000000,True
a067_s2p0_reference_r04,0.0420701676,0.0420701676,reference,2.0000000000,0.4000000000,True,0.1250147009,1.0000000000,True
a067_s2p0_strong_r00,0.0763728300,0.0763728300,strong,2.0000000000,0.0000000000,True,0.0381964992,1.0000000000,True
a067_s2p0_strong_r01,-0.2415960540,-0.2415960540,strong,2.0000000000,0.0000000000,True,0.0492325140,1.0000000000,True
a067_s2p0_strong_r02,-0.4398312331,0.0000000000,strong,2.0000000000,1.0000000000,False,0.5708077584,0.7142857143,False
a067_s2p0_strong_r03,-0.0119942284,-0.0119942284,strong,2.0000000000,0.0000000000,True,0.0653579617,1.0000000000,True
a067_s2p0_strong_r04,-0.0115872946,-0.0115872946,strong,2.0000000000,0.0000000000,True,0.0570721824,1.0000000000,True
a067_s2p0_weak_r00,-0.0753388222,0.0000000000,weak,2.0000000000,1.0000000000,False,0.6028134205,0.8571428571,False
a067_s2p0_weak_r01,0.0000000000,0.0000000000,weak,2.0000000000,1.0000000000,False,0.7041106843,0.8571428571,False
a067_s2p0_weak_r02,-0.5065075425,0.0000000000,weak,2.0000000000,1.0000000000,False,0.5844713901,0.8571428571,False
a067_s2p0_weak_r03,-0.2389410638,-0.2389410638,weak,2.0000000000,0.4000000000,True,0.3756448804,1.0000000000,True
a067_s2p0_weak_r04,-0.0189498360,0.0000000000,weak,2.0000000000,0.4000000000,True,0.6421950471,1.0000000000,False
a067_s4p0_reference_r00,-0.4160948825,-0.4160948825,reference,4.0000000000,0.4000000000,True,0.3240041507,0.8571428571,True
a067_s4p0_reference_r01,-0.0561731825,-0.0561731825,reference,4.0000000000,0.0000000000,True,0.1042214127,1.0000000000,True
a067_s4p0_reference_r02,-0.2120219922,-0.2120219922,reference,4.0000000000,0.4000000000,True,0.1089498249,1.0000000000,True
a067_s4p0_reference_r03,-0.4685005716,-0.4685005716,reference,4.0000000000,0.0000000000,True,0.2363184266,0.8571428571,True
a067_s4p0_reference_r04,-0.2365929334,-0.2365929334,reference,4.0000000000,0.0000000000,True,0.0985993836,1.0000000000,True
a067_s4p0_strong_r00,-0.2995179166,-0.2995179166,strong,4.0000000000,0.0000000000,True,0.0472351110,1.0000000000,True
a067_s4p0_strong_r01,-0.3397056799,0.0000000000,strong,4.0000000000,0.0000000000,True,0.4828022110,0.5714285714,False
a067_s4p0_strong_r02,-0.4957067548,-0.4957067548,strong,4.0000000000,0.4000000000,True,0.0269716703,1.0000000000,True
a067_s4p0_strong_r03,0.0000000000,0.0000000000,strong,4.0000000000,1.0000000000,False,0.5348805716,1.0000000000,False
a067_s4p0_strong_r04,-0.4563391524,-0.4563391524,strong,4.0000000000,0.0000000000,True,0.0682825350,1.0000000000,True
a067_s4p0_weak_r00,0.2580101009,0.0000000000,weak,4.0000000000,1.0000000000,False,0.4942934881,0.7142857143,False
a067_s4p0_weak_r01,-0.5287496300,-0.5287496300,weak,4.0000000000,1.0000000000,False,0.3854493947,0.8571428571,True
a067_s4p0_weak_r02,-0.3857962620,-0.3857962620,weak,4.0000000000,1.0000000000,False,0.3985932111,1.0000000000,True
a067_s4p0_weak_r03,0.0631766097,0.0000000000,weak,4.0000000000,8.2000000000,False,7.9213299683,0.8571428571,False
a067_s4p0_weak_r04,0.0000000000,0.0000000000,weak,4.0000000000,1.0000000000,False,0.6313879772,0.7142857143,False
a112_s0p75_reference_r00,-0.4964374108,-0.4964374108,reference,0.7500000000,1.0000000000,False,0.3061647464,0.8571428571,True
a112_s0p75_reference_r01,-0.3736115436,-0.3736115436,reference,0.7500000000,0.4000000000,True,0.1237573349,1.0000000000,True
a112_s0p75_reference_r02,-0.3196682807,-0.3196682807,reference,0.7500000000,0.0000000000,True,0.1142376436,1.0000000000,True
a112_s0p75_reference_r03,-0.1777045995,-0.1777045995,reference,0.7500000000,0.0000000000,True,0.0680077774,1.0000000000,True
a112_s0p75_reference_r04,-0.4472559554,-0.4472559554,reference,0.7500000000,0.0000000000,True,0.0900895301,1.0000000000,True
a112_s0p75_strong_r00,-0.3835138044,-0.3835138044,strong,0.7500000000,0.0000000000,True,0.0489562269,1.0000000000,True
a112_s0p75_strong_r01,-0.3134652729,-0.3134652729,strong,0.7500000000,0.0000000000,True,0.0611144693,1.0000000000,True
a112_s0p75_strong_r02,-0.1725752319,-0.1725752319,strong,0.7500000000,0.0000000000,True,0.0521976038,1.0000000000,True
a112_s0p75_strong_r03,-0.2468483666,-0.2468483666,strong,0.7500000000,0.4000000000,True,0.0653113937,1.0000000000,True
a112_s0p75_strong_r04,-0.3718068534,-0.3718068534,strong,0.7500000000,0.0000000000,True,0.0536582513,1.0000000000,True
a112_s0p75_weak_r00,-0.4290515438,-0.4290515438,weak,0.7500000000,1.0000000000,False,0.4766124700,1.0000000000,True
a112_s0p75_weak_r01,-0.3002087445,-0.3002087445,weak,0.7500000000,1.0000000000,False,0.3587958079,1.0000000000,True
a112_s0p75_weak_r02,-0.1663818592,0.0000000000,weak,0.7500000000,0.4000000000,True,0.6746807549,0.8571428571,False
a112_s0p75_weak_r03,-0.2915662167,-0.2915662167,weak,0.7500000000,1.0000000000,False,0.4708065901,0.8571428571,True
a112_s0p75_weak_r04,0.3672972780,0.3672972780,weak,0.7500000000,1.0000000000,False,0.4138999093,0.8571428571,True
a112_s2p0_reference_r00,0.0228998252,0.0228998252,reference,2.0000000000,1.0000000000,False,0.2937088843,0.8571428571,True
a112_s2p0_reference_r01,-0.0535344562,-0.0535344562,reference,2.0000000000,0.0000000000,True,0.1043746026,1.0000000000,True
a112_s2p0_reference_r02,-0.1746805492,-0.1746805492,reference,2.0000000000,0.0000000000,True,0.0821405222,1.0000000000,True
a112_s2p0_reference_r03,0.0088865341,0.0088865341,reference,2.0000000000,0.0000000000,True,0.1270609473,1.0000000000,True
a112_s2p0_reference_r04,-0.1204658120,-0.1204658120,reference,2.0000000000,0.0000000000,True,0.1135871410,1.0000000000,True
a112_s2p0_strong_r00,-0.1644753381,-0.1644753381,strong,2.0000000000,0.0000000000,True,0.0480752152,1.0000000000,True
a112_s2p0_strong_r01,-0.1814204121,-0.1814204121,strong,2.0000000000,0.0000000000,True,0.0627422078,1.0000000000,True
a112_s2p0_strong_r02,0.0013286969,0.0013286969,strong,2.0000000000,0.0000000000,True,0.0537538396,1.0000000000,True
a112_s2p0_strong_r03,-0.2047999359,-0.2047999359,strong,2.0000000000,0.0000000000,True,0.0588637656,1.0000000000,True
a112_s2p0_strong_r04,0.0327751340,0.0327751340,strong,2.0000000000,0.0000000000,True,0.0466607463,1.0000000000,True
a112_s2p0_weak_r00,-0.1470247737,-0.1470247737,weak,2.0000000000,0.0000000000,True,0.2809296865,0.8571428571,True
a112_s2p0_weak_r01,-0.4160351949,0.0000000000,weak,2.0000000000,8.6000000000,False,8.4777510471,0.8571428571,False
a112_s2p0_weak_r02,-0.3693944594,0.0000000000,weak,2.0000000000,1.0000000000,False,0.7244754342,0.8571428571,False
a112_s2p0_weak_r03,0.0000000000,0.0000000000,weak,2.0000000000,1.0000000000,False,0.8502101215,0.8571428571,False
a112_s2p0_weak_r04,0.0000000000,0.0000000000,weak,2.0000000000,1.0000000000,False,0.6317001773,0.8571428571,False
a112_s4p0_reference_r00,-0.4115254787,-0.4115254787,reference,4.0000000000,0.0000000000,True,0.1648651549,1.0000000000,True
a112_s4p0_reference_r01,-0.4096979139,-0.4096979139,reference,4.0000000000,1.0000000000,False,0.2940956842,0.8571428571,True
a112_s4p0_reference_r02,-0.3571225527,-0.3571225527,reference,4.0000000000,1.0000000000,False,0.3170444340,0.8571428571,True
a112_s4p0_reference_r03,-0.5839820530,0.0000000000,reference,4.0000000000,1.0000000000,False,0.5147515901,0.7142857143,False
a112_s4p0_reference_r04,-0.2886035078,-0.2886035078,reference,4.0000000000,0.0000000000,True,0.0690160998,1.0000000000,True
a112_s4p0_strong_r00,-0.3790512052,-0.3790512052,strong,4.0000000000,0.0000000000,True,0.0388925035,1.0000000000,True
a112_s4p0_strong_r01,-0.4529690430,-0.4529690430,strong,4.0000000000,0.0000000000,True,0.0566538582,1.0000000000,True
a112_s4p0_strong_r02,-0.5024492937,-0.5024492937,strong,4.0000000000,0.0000000000,True,0.0663847678,1.0000000000,True
a112_s4p0_strong_r03,-0.4486853471,0.0000000000,strong,4.0000000000,0.4000000000,True,0.4864056239,0.7142857143,False
a112_s4p0_strong_r04,-0.5085818422,0.0000000000,strong,4.0000000000,0.0000000000,True,0.4916805833,0.7142857143,False
a112_s4p0_weak_r00,-0.2333508408,-0.2333508408,weak,4.0000000000,1.0000000000,False,0.4816954708,1.0000000000,True
a112_s4p0_weak_r01,-0.0062324387,0.0000000000,weak,4.0000000000,1.0000000000,False,0.7149134158,0.5714285714,False
a112_s4p0_weak_r02,-0.4649223470,-0.4649223470,weak,4.0000000000,1.0000000000,False,0.3652605700,1.0000000000,True
a112_s4p0_weak_r03,-0.4077041059,-0.4077041059,weak,4.0000000000,1.0000000000,False,0.2865774370,1.0000000000,True
a112_s4p0_weak_r04,-0.0887928630,-0.0887928630,weak,4.0000000000,0.4000000000,True,0.3424290155,0.8571428571,True
a157_s0p75_reference_r00,-0.2516446676,-0.2516446676,reference,0.7500000000,0.4000000000,True,0.1155074682,1.0000000000,True
a157_s0p75_reference_r01,-0.2832309899,-0.2832309899,reference,0.7500000000,0.0000000000,True,0.0973514398,1.0000000000,True
a157_s0p75_reference_r02,-0.3305995090,-0.3305995090,reference,0.7500000000,0.0000000000,True,0.0907143758,1.0000000000,True
a157_s0p75_reference_r03,-0.3459183996,-0.3459183996,reference,0.7500000000,0.0000000000,True,0.1179287403,1.0000000000,True
a157_s0p75_reference_r04,-0.3699211155,-0.3699211155,reference,0.7500000000,0.0000000000,True,0.1169399675,1.0000000000,True
a157_s0p75_strong_r00,-0.1883435489,-0.1883435489,strong,0.7500000000,0.0000000000,True,0.0578543239,1.0000000000,True
a157_s0p75_strong_r01,-0.2347637498,-0.2347637498,strong,0.7500000000,0.0000000000,True,0.2154854179,0.8571428571,True
a157_s0p75_strong_r02,-0.2206552278,-0.2206552278,strong,0.7500000000,0.0000000000,True,0.0397351862,1.0000000000,True
a157_s0p75_strong_r03,-0.3750165193,-0.3750165193,strong,0.7500000000,0.0000000000,True,0.0415202355,1.0000000000,True
a157_s0p75_strong_r04,0.0000000000,0.0000000000,strong,0.7500000000,1.0000000000,False,0.5482761197,0.8571428571,False
a157_s0p75_weak_r00,0.1639243943,0.1639243943,weak,0.7500000000,0.4000000000,True,0.2556058018,0.8571428571,True
a157_s0p75_weak_r01,0.2936052053,0.2936052053,weak,0.7500000000,0.4000000000,True,0.3641922846,1.0000000000,True
a157_s0p75_weak_r02,0.2649065138,0.2649065138,weak,0.7500000000,1.0000000000,False,0.4220647013,1.0000000000,True
a157_s0p75_weak_r03,-0.1934671686,0.0000000000,weak,0.7500000000,1.0000000000,False,0.6243834592,0.8571428571,False
a157_s0p75_weak_r04,-0.1113757252,-0.1113757252,weak,0.7500000000,0.0000000000,True,0.3985837075,1.0000000000,True
a157_s2p0_reference_r00,-0.1431230733,-0.1431230733,reference,2.0000000000,0.0000000000,True,0.1101665917,1.0000000000,True
a157_s2p0_reference_r01,0.0000000000,0.0000000000,reference,2.0000000000,1.0000000000,False,0.5806181165,0.8571428571,False
a157_s2p0_reference_r02,-0.0365463148,-0.0365463148,reference,2.0000000000,0.0000000000,True,0.1074093385,1.0000000000,True
a157_s2p0_reference_r03,0.3157180292,0.3157180292,reference,2.0000000000,0.4000000000,True,0.1276516360,1.0000000000,True
a157_s2p0_reference_r04,-0.0202363636,-0.0202363636,reference,2.0000000000,0.0000000000,True,0.0691493397,1.0000000000,True
a157_s2p0_strong_r00,-0.1045577413,-0.1045577413,strong,2.0000000000,0.0000000000,True,0.0469218829,1.0000000000,True
a157_s2p0_strong_r01,-0.1260894175,-0.1260894175,strong,2.0000000000,0.0000000000,True,0.0674494702,1.0000000000,True
a157_s2p0_strong_r02,-0.1405969121,-0.1405969121,strong,2.0000000000,0.0000000000,True,0.0501855289,1.0000000000,True
a157_s2p0_strong_r03,-0.1494407679,-0.1494407679,strong,2.0000000000,0.0000000000,True,0.0665922508,1.0000000000,True
a157_s2p0_strong_r04,-0.2071135298,-0.2071135298,strong,2.0000000000,0.0000000000,True,0.0472535672,1.0000000000,True
a157_s2p0_weak_r00,-0.4171866895,0.0000000000,weak,2.0000000000,1.0000000000,False,0.8592175152,0.7142857143,False
a157_s2p0_weak_r01,-0.2511453278,-0.2511453278,weak,2.0000000000,0.4000000000,True,0.3551467638,1.0000000000,True
a157_s2p0_weak_r02,-0.0256630859,0.0000000000,weak,2.0000000000,1.0000000000,False,0.5368086387,1.0000000000,False
a157_s2p0_weak_r03,-0.2401665689,0.0000000000,weak,2.0000000000,0.4000000000,True,0.6152702908,1.0000000000,False
a157_s2p0_weak_r04,-0.3646704826,-0.3646704826,weak,2.0000000000,1.0000000000,False,0.3611520574,1.0000000000,True
a157_s4p0_reference_r00,-0.2794234820,-0.2794234820,reference,4.0000000000,0.0000000000,True,0.0710689402,1.0000000000,True
a157_s4p0_reference_r01,-0.4643714080,-0.4643714080,reference,4.0000000000,0.4000000000,True,0.1382549842,1.0000000000,True
a157_s4p0_reference_r02,-0.6282381168,0.0000000000,reference,4.0000000000,1.0000000000,False,0.4853831316,0.5714285714,False
a157_s4p0_reference_r03,-0.4014133726,-0.4014133726,reference,4.0000000000,1.0000000000,False,0.3106302827,0.8571428571,True
a157_s4p0_reference_r04,-0.5104908719,-0.5104908719,reference,4.0000000000,0.4000000000,True,0.1015231202,1.0000000000,True
a157_s4p0_strong_r00,-0.4362226367,0.0000000000,strong,4.0000000000,1.0000000000,False,0.5688966700,0.2857142857,False
a157_s4p0_strong_r01,-0.3829334268,-0.3829334268,strong,4.0000000000,0.0000000000,True,0.0675119223,1.0000000000,True
a157_s4p0_strong_r02,-0.4548652161,-0.4548652161,strong,4.0000000000,0.0000000000,True,0.2030639643,0.8571428571,True
a157_s4p0_strong_r03,-0.4002024440,0.0000000000,strong,4.0000000000,1.0000000000,False,0.5452331283,0.4285714286,False
a157_s4p0_strong_r04,-0.5447333868,-0.5447333868,strong,4.0000000000,1.0000000000,False,0.0665489499,1.0000000000,True
a157_s4p0_weak_r00,-0.1752308890,-0.1752308890,weak,4.0000000000,0.4000000000,True,0.4162098795,1.0000000000,True
a157_s4p0_weak_r01,-0.2200903877,-0.2200903877,weak,4.0000000000,0.0000000000,True,0.2893982467,1.0000000000,True
a157_s4p0_weak_r02,-0.3323676669,0.0000000000,weak,4.0000000000,1.0000000000,False,0.5467744003,0.8571428571,False
a157_s4p0_weak_r03,-0.3494333002,-0.3494333002,weak,4.0000000000,1.0000000000,False,0.3991342916,1.0000000000,True
a157_s4p0_weak_r04,-0.1085193934,-0.1085193934,weak,4.0000000000,1.0000000000,False,0.2374187236,1.0000000000,True
a202_s0p75_reference_r00,-0.3539812450,-0.3539812450,reference,0.7500000000,0.0000000000,True,0.1267700238,1.0000000000,True
a202_s0p75_reference_r01,-0.4106072531,-0.4106072531,reference,0.7500000000,0.0000000000,True,0.0877491231,1.0000000000,True
a202_s0p75_reference_r02,-0.2429278270,-0.2429278270,reference,0.7500000000,0.0000000000,True,0.0981224161,1.0000000000,True
a202_s0p75_reference_r03,-0.2410667930,-0.2410667930,reference,0.7500000000,0.0000000000,True,0.0501868080,1.0000000000,True
a202_s0p75_reference_r04,-0.3339748932,-0.3339748932,reference,0.7500000000,0.0000000000,True,0.0857050302,1.0000000000,True
a202_s0p75_strong_r00,-0.2424215061,-0.2424215061,strong,0.7500000000,0.0000000000,True,0.0395559910,1.0000000000,True
a202_s0p75_strong_r01,-0.1645469419,-0.1645469419,strong,0.7500000000,0.0000000000,True,0.0490193710,1.0000000000,True
a202_s0p75_strong_r02,-0.3635053332,-0.3635053332,strong,0.7500000000,0.0000000000,True,0.0485634301,1.0000000000,True
a202_s0p75_strong_r03,-0.3790795690,-0.3790795690,strong,0.7500000000,0.0000000000,True,0.0570694223,1.0000000000,True
a202_s0p75_strong_r04,-0.4110457123,-0.4110457123,strong,0.7500000000,0.0000000000,True,0.0715876656,1.0000000000,True
a202_s0p75_weak_r00,0.1831047449,0.1831047449,weak,0.7500000000,0.0000000000,True,0.2064004621,1.0000000000,True
a202_s0p75_weak_r01,0.2230762507,0.2230762507,weak,0.7500000000,1.0000000000,False,0.4287184060,1.0000000000,True
a202_s0p75_weak_r02,-0.1418877567,-0.1418877567,weak,0.7500000000,0.0000000000,True,0.2722308769,1.0000000000,True
a202_s0p75_weak_r03,0.2115052268,0.2115052268,weak,0.7500000000,0.4000000000,True,0.3652376622,1.0000000000,True
a202_s0p75_weak_r04,-0.1539048806,0.0000000000,weak,0.7500000000,1.0000000000,False,0.6292863853,0.7142857143,False
a202_s2p0_reference_r00,-0.3290364865,-0.3290364865,reference,2.0000000000,0.0000000000,True,0.0643127836,1.0000000000,True
a202_s2p0_reference_r01,-0.3271354827,-0.3271354827,reference,2.0000000000,0.4000000000,True,0.3498437945,0.8571428571,True
a202_s2p0_reference_r02,-0.2515337997,-0.2515337997,reference,2.0000000000,0.0000000000,True,0.0813185971,1.0000000000,True
a202_s2p0_reference_r03,0.0019394498,0.0019394498,reference,2.0000000000,0.0000000000,True,0.1421180389,1.0000000000,True
a202_s2p0_reference_r04,-0.0385789543,-0.0385789543,reference,2.0000000000,0.0000000000,True,0.0956924093,1.0000000000,True
a202_s2p0_strong_r00,-0.0707206224,-0.0707206224,strong,2.0000000000,0.0000000000,True,0.0533623650,1.0000000000,True
a202_s2p0_strong_r01,-0.2390056860,-0.2390056860,strong,2.0000000000,0.0000000000,True,0.0754346167,1.0000000000,True
a202_s2p0_strong_r02,-0.2184857840,-0.2184857840,strong,2.0000000000,0.0000000000,True,0.0531343248,1.0000000000,True
a202_s2p0_strong_r03,-0.0019856050,-0.0019856050,strong,2.0000000000,0.0000000000,True,0.0564569734,1.0000000000,True
a202_s2p0_strong_r04,-0.0836325260,-0.0836325260,strong,2.0000000000,0.0000000000,True,0.0755030990,1.0000000000,True
a202_s2p0_weak_r00,-0.2055076744,0.0000000000,weak,2.0000000000,1.0000000000,False,0.6469938922,0.8571428571,False
a202_s2p0_weak_r01,-0.0324518578,-0.0324518578,weak,2.0000000000,0.4000000000,True,0.4149861496,1.0000000000,True
a202_s2p0_weak_r02,-0.1277974337,-0.1277974337,weak,2.0000000000,0.4000000000,True,0.4022403772,1.0000000000,True
a202_s2p0_weak_r03,0.3963908255,0.3963908255,weak,2.0000000000,1.0000000000,False,0.3140355552,1.0000000000,True
a202_s2p0_weak_r04,-0.1132099499,-0.1132099499,weak,2.0000000000,0.4000000000,True,0.3120511979,1.0000000000,True
a202_s4p0_reference_r00,-0.4314215741,-0.4314215741,reference,4.0000000000,0.4000000000,True,0.3419508640,0.8571428571,True
a202_s4p0_reference_r01,-0.1973691482,-0.1973691482,reference,4.0000000000,0.0000000000,True,0.1393611961,1.0000000000,True
a202_s4p0_reference_r02,-0.5285034133,-0.5285034133,reference,4.0000000000,0.4000000000,True,0.2831796217,0.8571428571,True
a202_s4p0_reference_r03,-0.3591585496,-0.3591585496,reference,4.0000000000,0.0000000000,True,0.1579177712,1.0000000000,True
