date,dataset_id,method,native_nll_per_target,n_target_points,truth_sigma2_over_range_lat,est_sigma2_over_range_lat,signed_error_sigma2_over_range_lat,abs_pct_error_sigma2_over_range_lat,truth_sigma2_over_range_lon,est_sigma2_over_range_lon,signed_error_sigma2_over_range_lon,abs_pct_error_sigma2_over_range_lon,truth_sigma2_over_range_time,est_sigma2_over_range_time,signed_error_sigma2_over_range_time,abs_pct_error_sigma2_over_range_time,truth_range_lat_over_range_lon,est_range_lat_over_range_lon,signed_error_range_lat_over_range_lon,abs_pct_error_range_lat_over_range_lon,truth_range_lat_over_range_time,est_range_lat_over_range_time,signed_error_range_lat_over_range_time,abs_pct_error_range_lat_over_range_time,truth_range_lon_over_range_time,est_range_lon_over_range_time,signed_error_range_lon_over_range_time,abs_pct_error_range_lon_over_range_time,truth_advec_lat_over_range_lat_per_hour,est_advec_lat_over_range_lat_per_hour,signed_error_advec_lat_over_range_lat_per_hour,abs_pct_error_advec_lat_over_range_lat_per_hour,truth_advec_lon_over_range_lon_per_hour,est_advec_lon_over_range_lon_per_hour,signed_error_advec_lon_over_range_lon_per_hour,abs_pct_error_advec_lon_over_range_lon_per_hour,truth_advec_lat_corrtime_over_range_lat,est_advec_lat_corrtime_over_range_lat,signed_error_advec_lat_corrtime_over_range_lat,abs_pct_error_advec_lat_corrtime_over_range_lat,truth_advec_lon_corrtime_over_range_lon,est_advec_lon_corrtime_over_range_lon,signed_error_advec_lon_corrtime_over_range_lon,abs_pct_error_advec_lon_corrtime_over_range_lon,truth_advec_corrtime_scaled_norm,est_advec_corrtime_scaled_norm,signed_error_advec_corrtime_scaled_norm,abs_pct_error_advec_corrtime_scaled_norm
2024-07-13,synthetic_20240713,shifted,1.1310,139738,50.0000,84.4905,34.4905,68.9809,33.3333,56.9549,23.6216,70.8647,5.0000,7.4907,2.4907,49.8136,0.6667,0.6741,0.0074,1.1148,0.1000,0.0887,-0.0113,11.3429,0.1500,0.1315,-0.0185,12.3203,0.4000,0.7774,0.3774,94.3467,-0.6667,-1.3251,-0.6585,98.7698,0.8000,0.9048,0.1048,13.1056,-1.3333,-1.5424,-0.2091,15.6798,1.5549,1.7882,0.2333,15.0040
2024-07-13,synthetic_20240713,union,1.1303,139738,50.0000,84.5515,34.5515,69.1031,33.3333,56.9598,23.6264,70.8793,5.0000,7.4862,2.4862,49.7238,0.6667,0.6737,0.0070,1.0504,0.1000,0.0885,-0.0115,11.4600,0.1500,0.1314,-0.0186,12.3804,0.4000,0.7951,0.3951,98.7701,-0.6667,-1.3151,-0.6484,97.2632,0.8000,0.9226,0.1226,15.3243,-1.3333,-1.5260,-0.1927,14.4500,1.5549,1.7832,0.2283,14.6821
2024-07-19,synthetic_20240719,adapted,1.1318,142077,50.0000,84.4802,34.4802,68.9605,33.3333,57.2687,23.9354,71.8062,5.0000,7.5214,2.5214,50.4274,0.6667,0.6779,0.0112,1.6842,0.1000,0.0890,-0.0110,10.9689,0.1500,0.1313,-0.0187,12.4436,0.4000,0.7588,0.3588,89.7086,-0.6667,-1.3148,-0.6481,97.2171,0.8000,0.8824,0.0824,10.3040,-1.3333,-1.5289,-0.1956,14.6698,1.5549,1.7653,0.2104,13.5305
2024-07-19,synthetic_20240719,fixed,1.1390,142077,50.0000,83.9891,33.9891,67.9783,33.3333,56.8998,23.5665,70.6994,5.0000,7.9113,2.9113,58.2265,0.6667,0.6775,0.0108,1.6199,0.1000,0.0942,-0.0058,5.8054,0.1500,0.1390,-0.0110,7.3070,0.4000,0.7203,0.3203,80.0797,-0.6667,-1.1145,-0.4478,67.1720,0.8000,0.8218,0.0218,2.7249,-1.3333,-1.2715,0.0618,4.6382,1.5549,1.5139,-0.0410,2.6349
2024-07-19,synthetic_20240719,shifted,1.1316,142077,50.0000,84.4660,34.4660,68.9319,33.3333,57.2764,23.9430,71.8291,5.0000,7.5001,2.5001,50.0016,0.6667,0.6781,0.0114,1.7150,0.1000,0.0888,-0.0112,11.2059,0.1500,0.1309,-0.0191,12.7030,0.4000,0.7611,0.3611,90.2686,-0.6667,-1.3096,-0.6430,96.4474,0.8000,0.8883,0.0883,11.0434,-1.3333,-1.5287,-0.1953,14.6494,1.5549,1.7680,0.2131,13.7060
2024-07-19,synthetic_20240719,union,1.1310,142077,50.0000,84.5113,34.5113,69.0226,33.3333,57.2824,23.9491,71.8473,5.0000,7.4856,2.4856,49.7111,0.6667,0.6778,0.0111,1.6712,0.1000,0.0886,-0.0114,11.4254,0.1500,0.1307,-0.0193,12.8813,0.4000,0.7674,0.3674,91.8577,-0.6667,-1.3027,-0.6360,95.4040,0.8000,0.8962,0.0962,12.0302,-1.3333,-1.5213,-0.1880,14.1010,1.5549,1.7657,0.2108,13.5565
2025-07-06,synthetic_20250706,adapted,1.1361,137015,50.0000,85.6651,35.6651,71.3303,33.3333,57.3553,24.0220,72.0660,5.0000,7.4450,2.4450,48.8998,0.6667,0.6695,0.0029,0.4294,0.1000,0.0869,-0.0131,13.0919,0.1500,0.1298,-0.0202,13.4635,0.4000,0.7774,0.3774,94.3381,-0.6667,-1.2980,-0.6313,94.7016,0.8000,0.9192,0.1192,14.9042,-1.3333,-1.5349,-0.2016,15.1191,1.5549,1.7891,0.2342,15.0622
2025-07-06,synthetic_20250706,fixed,1.1432,137015,50.0000,85.0439,35.0439,70.0877,33.3333,56.9135,23.5802,70.7405,5.0000,7.4702,2.4702,49.4035,0.6667,0.6692,0.0026,0.3838,0.1000,0.0878,-0.0122,12.1609,0.1500,0.1313,-0.0187,12.4967,0.4000,0.7366,0.3366,84.1425,-0.6667,-1.1052,-0.4386,65.7867,0.8000,0.9058,0.1058,13.2254,-1.3333,-1.3592,-0.0259,1.9388,1.5549,1.6334,0.0784,5.0445
2025-07-06,synthetic_20250706,shifted,1.1360,137015,50.0000,85.6570,35.6570,71.3141,33.3333,57.3569,24.0236,72.0708,5.0000,7.4311,2.4311,48.6227,0.6667,0.6696,0.0029,0.4417,0.1000,0.0868,-0.0132,13.2455,0.1500,0.1296,-0.0204,13.6270,0.4000,0.7755,0.3755,93.8728,-0.6667,-1.2969,-0.6303,94.5409,0.8000,0.9199,0.1199,14.9926,-1.3333,-1.5385,-0.2052,15.3889,1.5549,1.7926,0.2377,15.2841
2025-07-06,synthetic_20250706,union,1.1354,137015,50.0000,85.7053,35.7053,71.4106,33.3333,57.3766,24.0433,72.1298,5.0000,7.4347,2.4347,48.6930,0.6667,0.6695,0.0028,0.4196,0.1000,0.0867,-0.0133,13.2533,0.1500,0.1296,-0.0204,13.6158,0.4000,0.7835,0.3835,95.8867,-0.6667,-1.2903,-0.6236,93.5432,0.8000,0.9269,0.1269,15.8677,-1.3333,-1.5264,-0.1931,14.4815,1.5549,1.7858,0.2309,14.8501
