day,hour,minute,hour_key,family,unit,unit_label,variant,smooth,loss,fit_seconds,eig_seconds,sigmasq,range,phi1,phi2,nugget,n_obs,mean_rank,n_eigen,eigen_threshold,min_kept_eigen,max_kept_eigen,sum_y2,mean_y2,max_abs_bridge_scaled,brown_bridge_pvalue_approx,brown_bridge_width
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c3_of_4x4,"tile row 3/4, col 3/4",nugget0,0.300000,1.156761,0.321729,0.078691,7.782810,0.179528,43.351412,5.570149,0.000000,1120,2,1118,0.000000,1.886698,358.384080,1114.268237,0.996662,1.273942,0.077866,64.219679
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c4_of_4x4,"tile row 3/4, col 4/4",nugget0,0.300000,1.177598,0.341975,0.076854,11.019348,0.307457,35.840313,3.252489,0.000000,1092,2,1090,0.000000,1.936758,911.330973,1089.568265,0.999604,0.900643,0.391843,63.410398
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c1_of_4x4,"tile row 4/4, col 1/4",nugget0,0.300000,1.193152,0.345976,0.088173,8.716302,0.189092,46.095648,5.288441,0.000000,1131,2,1129,0.000000,2.048409,429.249823,1132.664034,1.003245,1.245884,0.089690,64.534835
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c2_of_4x4,"tile row 4/4, col 2/4",nugget0,0.300000,1.162927,0.345575,0.090352,10.240455,0.286390,35.756971,3.491737,0.000000,1157,2,1155,0.000000,1.877656,817.539614,1154.667206,0.999712,0.605982,0.856265,65.273699
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c3_of_4x4,"tile row 4/4, col 3/4",nugget0,0.300000,1.191467,0.332451,0.091390,11.045982,0.291134,37.941230,3.434844,0.000000,1159,2,1157,0.000000,2.005511,897.293883,1159.280789,1.001971,1.083492,0.190971,65.330188
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c4_of_4x4,"tile row 4/4, col 4/4",nugget0,0.300000,1.165539,0.340490,0.092824,8.223297,0.190965,43.061807,5.236562,0.000000,1160,2,1158,0.000000,1.921201,414.623629,1157.955118,0.999961,0.900145,0.392531,65.358415
20220701,0,53,y22m07day01_hm00:53,sparse,x8,whole domain x8,nugget0,0.300000,1.661671,0.025999,0.006360,10.288824,0.156711,65.654814,6.381178,0.000000,300,2,298,0.000000,8.346095,15.123669,300.070833,1.006949,0.537632,0.934691,33.155483
20220701,0,53,y22m07day01_hm00:53,sparse,x4,whole domain x4,nugget0,0.300000,1.578367,0.337207,0.093580,10.568480,0.217019,48.698356,4.607886,0.000000,1159,2,1157,0.000000,5.166178,69.807469,1160.977494,1.003438,0.929598,0.353181,65.330188
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c1_of_4x4,"tile row 1/4, col 1/4",nugget0,0.500000,1.239270,0.302248,0.078440,8.230571,0.104438,78.808079,9.575044,0.000000,1092,2,1090,0.000000,1.628128,175.133587,1091.907967,1.001750,2.116712,0.000257,63.410398
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c2_of_4x4,"tile row 1/4, col 2/4",nugget0,0.500000,1.192371,0.327071,0.079334,8.160396,0.112088,72.803314,8.921542,0.000000,1119,2,1117,0.000000,1.506750,196.322178,1117.061871,1.000055,2.400231,0.000020,64.190952
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c3_of_4x4,"tile row 1/4, col 3/4",nugget0,0.500000,1.202962,0.330889,0.077679,9.300228,0.128409,72.426565,7.787611,0.000000,1120,2,1118,0.000000,1.502675,281.413780,1118.698738,1.000625,2.619955,0.000002,64.219679
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c4_of_4x4,"tile row 1/4, col 4/4",nugget0,0.500000,1.183424,0.339285,0.083032,9.723335,0.139609,69.647002,7.162872,0.000000,1116,2,1114,0.000000,1.446943,336.212941,1123.521381,1.008547,1.861861,0.001950,64.104693
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c1_of_4x4,"tile row 2/4, col 1/4",nugget0,0.500000,1.169131,0.312545,0.079895,6.827098,0.094234,72.448431,10.611893,0.000000,1130,2,1128,0.000000,1.492448,121.908349,1134.738899,1.005974,2.244089,0.000085,64.506248
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c2_of_4x4,"tile row 2/4, col 2/4",nugget0,0.500000,1.246540,0.290329,0.088549,13.043267,0.175662,74.251886,5.692737,0.000000,1160,2,1158,0.000000,1.546374,647.909815,1162.606806,1.003978,2.219543,0.000105,65.358415
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c3_of_4x4,"tile row 2/4, col 3/4",nugget0,0.500000,1.138552,0.364655,0.083367,8.306354,0.121059,68.614103,8.260436,0.000000,1160,2,1158,0.000000,1.421912,229.072906,1164.299285,1.005440,2.360901,0.000029,65.358415
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c4_of_4x4,"tile row 2/4, col 4/4",nugget0,0.500000,1.230363,0.320162,0.084174,11.657664,0.159062,73.290140,6.286863,0.000000,1121,2,1119,0.000000,1.525152,492.214933,1121.902823,1.002594,2.557477,0.000004,64.248394
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c1_of_4x4,"tile row 3/4, col 1/4",nugget0,0.500000,1.213197,0.334024,0.075558,8.048037,0.106274,75.729438,9.409678,0.000000,1091,2,1089,0.000000,1.565376,176.253844,1089.041457,1.000038,0.898424,0.394911,63.381304
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c2_of_4x4,"tile row 3/4, col 2/4",nugget0,0.500000,1.197967,0.336103,0.081369,10.478448,0.148465,70.578759,6.735612,0.000000,1119,2,1117,0.000000,1.467447,400.059961,1124.901227,1.007074,1.959545,0.000924,64.190952
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c3_of_4x4,"tile row 3/4, col 3/4",nugget0,0.500000,1.191119,0.326316,0.082446,7.188283,0.096340,74.613784,10.379918,0.000000,1120,2,1118,0.000000,1.538093,133.399156,1120.375320,1.002125,2.631314,0.000002,64.219679
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c4_of_4x4,"tile row 3/4, col 4/4",nugget0,0.500000,1.220120,0.373128,0.072046,9.225372,0.123688,74.585918,8.084868,0.000000,1092,2,1090,0.000000,1.546809,260.275897,1090.340757,1.000313,2.395726,0.000021,63.410398
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c1_of_4x4,"tile row 4/4, col 1/4",nugget0,0.500000,1.233794,0.352762,0.083539,8.050335,0.102515,78.528660,9.754707,0.000000,1131,2,1129,0.000000,1.621392,166.527697,1131.468310,1.002186,1.426763,0.034110,64.534835
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c2_of_4x4,"tile row 4/4, col 2/4",nugget0,0.500000,1.188535,0.344929,0.115616,8.821946,0.123741,71.293633,8.081395,0.000000,1157,2,1155,0.000000,1.478072,252.044184,1160.578364,1.004830,1.700913,0.006139,65.273699
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c3_of_4x4,"tile row 4/4, col 3/4",nugget0,0.500000,1.236549,0.306974,0.086168,9.211407,0.119950,76.793977,8.336835,0.000000,1159,2,1157,0.000000,1.591167,250.047852,1158.023899,1.000885,2.369924,0.000026,65.330188
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c4_of_4x4,"tile row 4/4, col 4/4",nugget0,0.500000,1.197635,0.322412,0.080708,7.653571,0.102812,74.442151,9.726460,0.000000,1160,2,1158,0.000000,1.537122,159.684633,1165.584324,1.006550,2.269593,0.000067,65.358415
20220701,0,53,y22m07day01_hm00:53,sparse,x8,whole domain x8,nugget0,0.500000,1.659129,0.032266,0.005903,10.291125,0.158677,64.855707,6.302101,0.000000,300,2,298,0.000000,8.139407,14.631600,300.002158,1.006719,0.478906,0.975861,33.155483
20220701,0,53,y22m07day01_hm00:53,sparse,x4,whole domain x4,nugget0,0.500000,1.584088,0.291806,0.090763,10.506522,0.177747,59.109292,5.625962,0.000000,1159,2,1157,0.000000,4.623818,48.409495,1158.094983,1.000946,1.183431,0.121469,65.330188
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c1_of_4x4,"tile row 1/4, col 1/4",nugget0,1.000000,2.469617,0.334011,0.079947,7.472406,0.061699,121.110327,16.207675,0.000000,1092,2,1090,0.000000,1.280240,62.354260,1099.337810,1.008567,2.992874,0.000000,63.410398
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c2_of_4x4,"tile row 1/4, col 2/4",nugget0,1.000000,2.327110,0.320545,0.082987,7.324073,0.064126,114.213298,15.594232,0.000000,1119,2,1117,0.000000,1.171835,65.669364,1127.662896,1.009546,3.166773,0.000000,64.190952
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c3_of_4x4,"tile row 1/4, col 3/4",nugget0,1.000000,2.379551,0.336465,0.085955,8.146362,0.068347,119.191173,14.631214,0.000000,1120,2,1118,0.000000,1.161891,82.528777,1133.557928,1.013916,3.731087,0.000000,64.219679
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c4_of_4x4,"tile row 1/4, col 4/4",nugget0,1.000000,2.255889,0.304993,0.081555,7.912696,0.068846,114.933669,14.525222,0.000000,1116,2,1114,0.000000,1.113903,81.133707,1134.200409,1.018133,3.119597,0.000000,64.104693
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c1_of_4x4,"tile row 2/4, col 1/4",nugget0,1.000000,2.257406,0.324770,0.089641,6.286078,0.058309,107.805969,17.149958,0.000000,1130,2,1128,0.000000,1.189520,47.207781,1146.862195,1.016722,3.106092,0.000000,64.506248
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c2_of_4x4,"tile row 2/4, col 2/4",nugget0,1.000000,2.469390,0.314139,0.089517,10.432967,0.078460,132.971746,12.745343,0.000000,1160,2,1158,0.000000,1.155097,137.175944,1174.605678,1.014340,3.637529,0.000000,65.358415
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c3_of_4x4,"tile row 2/4, col 3/4",nugget0,1.000000,2.219648,0.382951,0.121530,7.122918,0.064762,109.985877,15.441126,0.000000,1160,2,1158,0.000000,1.119170,65.282784,1175.144267,1.014805,3.379208,0.000000,65.358415
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c4_of_4x4,"tile row 2/4, col 4/4",nugget0,1.000000,2.457262,0.341993,0.088537,9.348796,0.073212,127.694865,13.658963,0.000000,1121,2,1119,0.000000,1.176514,107.398868,1133.369853,1.012842,3.239649,0.000000,64.248394
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c1_of_4x4,"tile row 3/4, col 1/4",nugget0,1.000000,2.311468,0.348691,0.081948,7.213496,0.063120,114.282735,15.842906,0.000000,1091,2,1089,0.000000,1.187173,62.770219,1095.787698,1.006233,2.176143,0.000154,63.381304
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c2_of_4x4,"tile row 3/4, col 2/4",nugget0,1.000000,1.209403,0.363527,0.091625,9.048504,0.075042,120.579581,13.325914,0.000000,1119,2,1117,0.000000,1.088069,109.234164,1141.397089,1.021842,3.340788,0.000000,64.190952
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c3_of_4x4,"tile row 3/4, col 3/4",nugget0,1.000000,2.320200,0.342615,0.087111,6.609725,0.059046,111.941537,16.935883,0.000000,1120,2,1118,0.000000,1.223587,50.818454,1132.803758,1.013241,3.356291,0.000000,64.219679
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c4_of_4x4,"tile row 3/4, col 4/4",nugget0,1.000000,2.417036,0.348755,0.082256,8.182322,0.067480,121.255069,14.819151,0.000000,1092,2,1090,0.000000,1.194793,80.552231,1102.791979,1.011736,3.660076,0.000000,63.410398
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c1_of_4x4,"tile row 4/4, col 1/4",nugget0,1.000000,2.416775,0.322530,0.091170,7.148952,0.060654,117.863688,16.486849,0.000000,1131,2,1129,0.000000,1.262060,57.835212,1136.256347,1.006427,2.603567,0.000003,64.534835
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c2_of_4x4,"tile row 4/4, col 2/4",nugget0,1.000000,2.276488,0.326847,0.097139,7.759907,0.067862,114.348798,14.735847,0.000000,1157,2,1155,0.000000,1.120901,77.628169,1172.862377,1.015465,2.803229,0.000000,65.273699
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c3_of_4x4,"tile row 4/4, col 3/4",nugget0,1.000000,2.490486,0.327148,0.094615,7.918095,0.064654,122.468175,15.466873,0.000000,1159,2,1157,0.000000,1.247846,72.329688,1165.051196,1.006959,3.263736,0.000000,65.330188
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c4_of_4x4,"tile row 4/4, col 4/4",nugget0,1.000000,2.354187,0.335715,0.091989,6.943685,0.061039,113.758301,16.382988,0.000000,1160,2,1158,0.000000,1.212205,56.906222,1177.280895,1.016650,3.178959,0.000000,65.358415
20220701,0,53,y22m07day01_hm00:53,sparse,x8,whole domain x8,nugget0,1.000000,1.663016,0.020790,0.006084,10.291627,0.162048,63.509558,6.170993,0.000000,300,2,298,0.000000,7.936773,14.064372,299.964547,1.006592,0.463706,0.982579,33.155483
20220701,0,53,y22m07day01_hm00:53,sparse,x4,whole domain x4,nugget0,1.000000,1.621938,0.324657,0.100014,10.388333,0.147399,70.477693,6.784312,0.000000,1159,2,1157,0.000000,4.113194,33.459069,1159.274545,1.001966,1.650458,0.008610,65.330188
